Range_index_row	Range_index_col	Domain_index_row	Domain_index_col	contrast	brightness	best_rms	isEdge
0	0	0	0	-0.00019821262115399943	160.03209242529775	160.11087941535953	False
0	4	7	8	-0.0002821244515400415	157.62920206707955	6.698312455420986	False
0	8	0	0	-0.00015848674256686908	154.93490984024362	154.95180906665945	False
0	12	6	8	0.00011955131870302413	155.3442799183082	155.48807875704537	False
4	0	5	8	-6.0434780989795687e-05	156.09315902147594	3.303335369153235	False
4	4	0	4	-1.8484414899807627e-05	156.0939203701364	156.11633997180004	False
4	8	2	2	-9.702715720825147e-05	154.5611641242716	154.57800420167717	False
4	12	5	8	0.0006682196400435703	158.97469195685625	15.38071563568304	False
8	0	3	8	7.530687551773477e-05	155.98773182537022	156.00992739866456	False
8	4	8	8	3.3612979461429974e-05	157.81273957123446	157.84960101961371	False
8	8	3	7	9.308674797006445e-05	156.40153231289253	5.374842069235362	False
8	12	7	8	0.00037413824973129135	164.30268584149832	164.48551067534171	False
12	0	4	8	2.633594267081111e-05	157.90482688055485	157.9113943914294	False
12	4	8	5	0.00014349680225539166	159.72666981156664	4.498257869072909	False
12	8	7	7	0.0005685669101588975	163.90737528154503	164.25996176098397	False
12	12	0	3	-6.410722886973758e-05	167.19219772496518	167.19565658531008	False
